<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIVF.US,D,20250211,000000,1612.5,1792.5,1395,1515,1737.9133331595422,0
NIVF.US,D,20250212,000000,1402.5,2017.5,1402.5,1597.5,2702.085333063125,0
NIVF.US,D,20250213,000000,1575,1709.03,1387.5,1462.5,1000.0359998999963,0
NIVF.US,D,20250214,000000,1500,1582.5,1402.5,1462.5,985.5239999014476,0
NIVF.US,D,20250218,000000,1590,1860,1560,1642.5,4061.913332927142,0
NIVF.US,D,20250219,000000,2002.5,2164.88,1650,1702.5,16088.578665057812,0
NIVF.US,D,20250220,000000,1950,2092.43,1612.5,1755,26040.298664062637,0
NIVF.US,D,20250221,000000,1575,1657.05,1462.5,1582.5,1975.7439998024258,0
NIVF.US,D,20250224,000000,1650,1996.5,1612.5,1935,2657.714666400895,0
NIVF.US,D,20250225,000000,1792.5,1890,1612.5,1785,1019.7559998980244,0
NIVF.US,D,20250226,000000,1815,1815,1687.5,1755,544.3519999455649,0
NIVF.US,D,20250227,000000,1755,1980.08,1740.15,1807.5,1566.8226665099846,0
NIVF.US,D,20250228,000000,1515,1650,1455,1545,1517.1186665149548,0
NIVF.US,D,20250303,000000,1590,1605,1063.8,1215,1845.3826664821286,0
NIVF.US,D,20250304,000000,967.5,1101.6,870,937.5,1415.9999998583999,0
NIVF.US,D,20250305,000000,900,1425,900,1327.5,3377.1733329956164,0
NIVF.US,D,20250306,000000,1327.5,1327.5,985.5,1117.5,878.8199999121181,0
NIVF.US,D,20250307,000000,1027.5,1200,862.5,930,2002.210666466446,0
NIVF.US,D,20250310,000000,851.25,937.5,810,900,772.086666589458,0
NIVF.US,D,20250311,000000,862.5,900,705,780,457.373333287596,0
NIVF.US,D,20250312,000000,772.5,892.5,772.5,855,227.91866664387484,0
NIVF.US,D,20250313,000000,900,900,772.5,795,289.2359999710764,0
NIVF.US,D,20250314,000000,780,817.575,757.5,802.5,349.073333298426,0
NIVF.US,D,20250317,000000,780,922.5,772.5,795,174.57733331587562,0
