<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LRHC.US,D,20231215,000000,1376,1920,1248,1584,1374.92,0
LRHC.US,D,20231218,000000,1664,1664,1360,1368,95.12,0
LRHC.US,D,20231219,000000,1376,1504,1240,1248,42.1037,0
LRHC.US,D,20231220,000000,1376,1412.64,1240,1272,38.667500000000004,0
LRHC.US,D,20231221,000000,1256,1338.56,1240,1272,15.8825,0
LRHC.US,D,20231222,000000,1305.28,1360,1208,1208,66.0175,0
LRHC.US,D,20231226,000000,1208,1368,1208,1224,33.6637,0
LRHC.US,D,20231227,000000,1280,1384,1240,1272,62.7712,0
LRHC.US,D,20231228,000000,1240,1286.88,1216,1216,19.7487,0
LRHC.US,D,20231229,000000,1200,1248,1200,1200.08,17.8212,0
LRHC.US,D,20240102,000000,1252,1298.24,1200,1276,10.6712,0
LRHC.US,D,20240103,000000,1296,1296,1200,1216,11.65,0
LRHC.US,D,20240104,000000,1272,1272,1152.08,1192,21.117500000000003,0
LRHC.US,D,20240105,000000,1192,1280,1160,1201.6,15.065000000000001,0
LRHC.US,D,20240108,000000,1264,1360,1128,1279.92,11.191200000000002,0
LRHC.US,D,20240109,000000,1225.28,1225.28,1128.08,1168,3.3287500000000003,0
LRHC.US,D,20240110,000000,1159.84,1216,1136.08,1192.08,5.6675,0
LRHC.US,D,20240111,000000,1104,1208,1104,1200,2.5725000000000002,0
LRHC.US,D,20240112,000000,1184,1184,1184,1184,0.47625000000000006,0
LRHC.US,D,20240116,000000,1160,1160,1120,1128,5.62375,0
LRHC.US,D,20240117,000000,1196,1496,1196,1464,106.36300000000001,0
LRHC.US,D,20240118,000000,1464,1560,1262.56,1464,24.2087,0
LRHC.US,D,20240119,000000,1504.16,1544,1224.08,1384,8.58375,0
LRHC.US,D,20240122,000000,1448,1555.6,1352,1364,7.55625,0
LRHC.US,D,20240123,000000,1424,1576,1280.08,1420,10.3225,0
LRHC.US,D,20240124,000000,1258.72,1479.92,1256,1256,2.75875,0
LRHC.US,D,20240125,000000,1264,1356,1238.64,1352,4.0200000000000005,0
LRHC.US,D,20240126,000000,1248,1304.96,1224.08,1224.08,1.86375,0
LRHC.US,D,20240129,000000,1240,1495.2,1240,1280,2.6987500000000004,0
LRHC.US,D,20240131,000000,1320,1386.56,1200,1386.56,11.7812,0
LRHC.US,D,20240201,000000,1224,1399.92,1216,1365.2,9.951250000000002,0
LRHC.US,D,20240202,000000,1312,1312,1224,1256,1.7437500000000001,0
LRHC.US,D,20240205,000000,1336,1336,1336,1336,0.47750000000000004,0
LRHC.US,D,20240206,000000,1208.08,1408,1208,1408,2.8112500000000002,0
LRHC.US,D,20240207,000000,1228,1324.4,1228,1324.4,1.6425,0
LRHC.US,D,20240208,000000,1304,1304,1304,1304,1.0375,0
LRHC.US,D,20240209,000000,1320,1350.16,1304,1350.16,2.67375,0
LRHC.US,D,20240212,000000,1352,1360,1304,1304,3.2750000000000004,0
LRHC.US,D,20240214,000000,1352,1360,1312,1352,3.1950000000000003,0
LRHC.US,D,20240215,000000,1328,1328,1208,1284,9.821250000000001,0
LRHC.US,D,20240216,000000,1324,1360,1200,1200.08,4.95375,0
LRHC.US,D,20240220,000000,1200,1256,1048,1048,11.012500000000001,0
LRHC.US,D,20240221,000000,1323.44,1323.44,1054.24,1054.24,2.0275,0
LRHC.US,D,20240222,000000,3864,4400,2000,2192,38822.700000000004,0
LRHC.US,D,20240223,000000,1952,2112,1680,2040,846.6870000000001,0
LRHC.US,D,20240226,000000,2136,2136,1792,1872,157.861,0
LRHC.US,D,20240227,000000,1632,1720.08,1472,1568,133.29000000000002,0
LRHC.US,D,20240228,000000,1520,1520,1280,1360,193.912,0
LRHC.US,D,20240229,000000,1344,1496,1264,1397.2,113.732,0
LRHC.US,D,20240301,000000,1296,1480,1296,1464,95.90870000000001,0
LRHC.US,D,20240304,000000,1360,1576,1328,1496,130.506,0
LRHC.US,D,20240305,000000,1662.48,1853.2,1480,1680,180.56600000000003,0
LRHC.US,D,20240306,000000,1696,1704,1440.08,1496,49.145,0
LRHC.US,D,20240307,000000,1600,1848,1464,1688,231.931,0
LRHC.US,D,20240308,000000,1720,1720,1408.72,1416,319.79,0
LRHC.US,D,20240311,000000,1448,1519.92,1400,1400,56.593700000000005,0
LRHC.US,D,20240312,000000,1376,1488.4,1376,1408,46.965,0
